row_id,row_id_raw,VideoID,CommentDate,UserName,Comment,clean_comment,label_text,auto_label_raw,auto_label_context,auto_label_calibrated,auto_label,manual_label,final_label,positive_score,negative_score,neutral_score,sentiment_score,confidence,neg_signal,pos_signal,ambiguous_case,cash_response_category,needs_review,priority_score,review_priority_reason,context_rule_reason,calibration_reason,catatan_reviewer,Like,ScrapeDate
R00019,22,YLq9NVWk23U,2022-11-30 14:45:25,@leevan7917,boikot dolar... terapkan transaksi asia pake mata uang sendri.. jngn mao d bodohin dolar amerika lg😁,boikot dolar... terapkan transaksi asia pake mata uang sendri.. jngn mao d bodohin dolar amerika lg,boikot dolar... terapkan transaksi asia pake mata uang sendri.. jngn mao d bodohin dolar amerika lg,Netral,Netral,Netral,Netral,Netral,Netral,0,0,0,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,6,2026-05-16 10:11:39.628604
R00020,23,YLq9NVWk23U,2022-11-30 17:33:03,@anugrahrizkiramadhani9425,Bitcoin siap siap naik di tahun 2025,Bitcoin siap siap naik di tahun 2025,bitcoin siap siap naik di tahun 2025,Positif,Positif,Positif,Positif,,Positif,2,0,0,2,1.0,0,0,not_ambiguous,Tidak teridentifikasi,False,0,sampel tambahan,Tidak berubah,Tidak berubah,,2,2026-05-16 10:11:39.628601
R00021,24,YLq9NVWk23U,2022-11-30 19:42:23,@FNKchannell,Sewa security cyber dlu yg berpengalaman…ambil dari semua negara yg jago cyber securitynya,Sewa security cyber dlu yg berpengalaman ambil dari semua negara yg jago cyber securitynya,sewa security cyber dlu yg berpengalaman ambil dari semua negara yg jago cyber securitynya,Negatif,Negatif,Negatif,Negatif,,Negatif,0,-2,0,-2,1.0,0,0,not_ambiguous,Keamanan data dan kontrol,True,2,isu uang tunai,Tidak berubah,Tidak berubah,,3,2026-05-16 10:11:39.628599
R00022,25,YLq9NVWk23U,2022-11-30 22:04:26,@semutgatalxyz,Holder shiba ya wkwk,Holder shiba ya wkwk,holder shiba ya wkwk,Netral,Netral,Netral,Netral,Netral,Netral,0,0,0,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,1,2026-05-16 10:11:40.935400
R00023,26,YLq9NVWk23U,2022-11-30 22:51:33,@danusyahidulhaq71,"Otw kalau bencana atau listrik mati digital rupiah tidak berfungsi, semoga yg mendapat musibah itu para pejabat biar dia merasakan","Otw kalau bencana atau listrik mati digital rupiah tidak berfungsi, semoga yg mendapat musibah itu para pejabat biar dia merasakan","otw kalau bencana atau listrik mati digital rupiah tidak berfungsi, semoga yg mendapat musibah itu para pejabat biar dia merasakan",Negatif,Negatif,Negatif,Negatif,,Negatif,0,-2,0,-2,1.0,1,0,not_ambiguous,Akses teknologi dan infrastruktur,True,4,isu uang tunai; pola negatif terdeteksi,Tidak berubah,Tidak berubah,,6,2026-05-16 10:11:39.628595
R00024,28,YLq9NVWk23U,2022-11-30 23:27:49,@dens6981,Smua akan kripto pada akhirnya....🙏,Smua akan kripto pada akhirnya....,smua akan kripto pada akhirnya....,Netral,Netral,Netral,Netral,Netral,Netral,0,0,0,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,3,2026-05-16 10:11:39.628593
R00025,29,YLq9NVWk23U,2022-11-30 23:42:45,@turimin9006,"Mantap, maju terus Indonesiaku","Mantap, maju terus Indonesiaku","mantap, maju terus indonesiaku",Positif,Positif,Positif,Positif,,Positif,3,0,0,3,1.0,0,2,not_ambiguous,Tidak teridentifikasi,False,0,sampel tambahan,Tidak berubah,Tidak berubah,,1,2026-05-16 10:11:39.628592
R00026,30,YLq9NVWk23U,2022-11-30 23:59:07,@terehmill1819,Hhhhhhh ngakak gua mas,Hhhhhhh ngakak gua mas,hhhhhhh ngakak gua mas,Netral,Netral,Netral,Netral,Netral,Netral,0,0,0,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,2,2026-05-16 10:11:39.628608
R00027,31,YLq9NVWk23U,2022-12-01 00:05:21,@Istianah-sn8qi,Gk setuju nih bahayanya kalau terjadi perang besar satelit di hancurkan koneksi internet terputus jangankan uang digital semua pralatan elektronik kita gk bisa di pake trus gimana transkasinya,Gk setuju nih bahayanya kalau terjadi perang besar satelit di hancurkan koneksi internet terputus jangankan uang digital semua pralatan elektronik kita gk bisa di pake trus gimana transkasinya,gk setuju nih bahayanya kalau terjadi perang besar satelit di hancurkan koneksi internet terputus jangankan uang digital semua pralatan elektronik kita gk bisa di pake trus gimana transkasinya,Positif,Negatif,Negatif,Negatif,Negatif,Negatif,2,0,1,2,0.6667,0,1,risk_question,Tidak teridentifikasi,True,9,komentar ambigu; label berubah dari raw; pola negatif terdeteksi,Netral/Positif → Negatif (pola konteks negatif),Tidak berubah,,2,2026-05-16 10:11:39.628591
R00028,32,YLq9NVWk23U,2022-12-01 00:06:43,@terehmill1819,Betul.  Di malaysia aja 1 ringit ada sen coinya..,Betul. Di malaysia aja 1 ringit ada sen coinya..,betul. di malaysia aja 1 ringit ada sen coinya..,Netral,Netral,Netral,Netral,Netral,Netral,0,0,0,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,0,2026-05-16 10:11:40.935409
R00029,33,YLq9NVWk23U,2022-12-01 00:08:51,@Istianah-sn8qi,Mreka berambisi dmikian karna uang mreka sudah terlalu banyak dan inipun gk bermanfaat untuk orang miskin gk pula untk negara,Mreka berambisi dmikian karna uang mreka sudah terlalu banyak dan inipun gk bermanfaat untuk orang miskin gk pula untk negara,mreka berambisi dmikian karna uang mreka sudah terlalu banyak dan inipun gk bermanfaat untuk orang miskin gk pula untk negara,Positif,Positif,Positif,Positif,,Positif,2,0,0,2,1.0,0,1,not_ambiguous,Tidak teridentifikasi,False,0,sampel tambahan,Tidak berubah,Tidak berubah,,1,2026-05-16 10:11:39.628596
R00030,34,YLq9NVWk23U,2022-12-01 00:09:55,@Istianah-sn8qi,Digital rupiah tidak berfungsi ketika listrik dan satelit kita mati,Digital rupiah tidak berfungsi ketika listrik dan satelit kita mati,digital rupiah tidak berfungsi ketika listrik dan satelit kita mati,Netral,Negatif,Negatif,Negatif,Negatif,Negatif,0,0,0,0,0.0,0,0,not_ambiguous,Akses teknologi dan infrastruktur,True,13,confidence rendah; netral dengan sinyal; isu uang tunai; label berubah dari raw; pola negatif terdeteksi,Netral/Positif → Negatif (pola konteks negatif),Tidak berubah,,3,2026-05-16 10:11:39.628587
R00031,36,YLq9NVWk23U,2022-12-01 00:41:55,@budiharto8711,melihat gimana kedepan sambil ngopi..😃,melihat gimana kedepan sambil ngopi..,melihat gimana kedepan sambil ngopi..,Netral,Netral,Netral,Netral,Netral,Netral,0,0,1,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,1,2026-05-16 10:11:39.628585
R00032,37,YLq9NVWk23U,2022-12-01 01:11:54,@adiosamigos99,"Perbaiki dulu infrastruktur digitalnya dulu, sistem keamanan data, sistem privasi nasabah. Selama infrastruktur digital masih lemah, maka proyek garuda hanya sebatas wacana diatas kertas","Perbaiki dulu infrastruktur digitalnya dulu, sistem keamanan data, sistem privasi nasabah. Selama infrastruktur digital masih lemah, maka proyek garuda hanya sebatas wacana diatas kertas","perbaiki dulu infrastruktur digitalnya dulu, sistem keamanan data, sistem privasi nasabah. selama infrastruktur digital masih lemah, maka proyek garuda hanya sebatas wacana diatas kertas",Negatif,Negatif,Negatif,Negatif,,Negatif,0,-2,0,-2,1.0,0,0,not_ambiguous,Tidak teridentifikasi,False,2,pola negatif terdeteksi,Tidak berubah,Tidak berubah,,2,2026-05-16 10:11:39.628580
R00033,38,YLq9NVWk23U,2022-12-01 01:33:20,@andisetia9905,Majulah indonesiaku bangkok dan kuwat lah negriku trcinta,Majulah indonesiaku bangkok dan kuwat lah negriku trcinta,majulah indonesiaku bangkok dan kuwat lah negriku trcinta,Netral,Netral,Netral,Netral,Netral,Netral,0,0,0,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,2,2026-05-16 10:11:39.628580
R00034,39,YLq9NVWk23U,2022-12-01 01:43:36,@luispardede3628,"Yang di takutkan banyak orang mulai terealisasi.
Hanya orang"" cerdas yang akan mengerti.",Yang di takutkan banyak orang mulai terealisasi. Hanya orang cerdas yang akan mengerti.,yang di takutkan banyak orang mulai terealisasi. hanya orang cerdas yang akan mengerti.,Netral,Netral,Netral,Netral,Netral,Netral,0,0,0,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,3,2026-05-16 10:11:39.628576
R00035,40,YLq9NVWk23U,2022-12-01 01:43:48,@blossomofficial5582,Gak singkron sama database,Gak singkron sama database,gak singkron sama database,Netral,Netral,Netral,Netral,Netral,Netral,0,0,0,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,0,2026-05-16 10:11:39.628575
R00036,41,YLq9NVWk23U,2022-12-01 01:46:35,@pbschannel8111,Semua transaksi harus digital biar terdata uang keluar berapa harus transfaran sehingga tidak terjadi kelebihan bayar,Semua transaksi harus digital biar terdata uang keluar berapa harus transfaran sehingga tidak terjadi kelebihan bayar,semua transaksi harus digital biar terdata uang keluar berapa harus transfaran sehingga tidak terjadi kelebihan bayar,Netral,Netral,Netral,Netral,Netral,Netral,0,0,1,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,2,2026-05-16 10:11:39.628575
R00037,42,YLq9NVWk23U,2022-12-01 01:53:01,@fundemort,Cara presentasinya koq agak tertahan² gimana gitu 😂. Presentasi apa berdoa 😂.,Cara presentasinya koq agak tertahan² gimana gitu . Presentasi apa berdoa .,cara presentasinya koq agak tertahan² gimana gitu . presentasi apa berdoa .,Netral,Netral,Netral,Netral,Netral,Netral,0,0,3,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,1,2026-05-16 10:11:39.628574
R00038,43,YLq9NVWk23U,2022-12-01 01:58:27,@adinyora,Maju terus Indonesia tanah air kuuu terima kasih pak Jokowi 🥰🥰,Maju terus Indonesia tanah air kuuu terima kasih pak Jokowi,maju terus indonesia tanah air kuuu terima kasih pak jokowi,Positif,Positif,Positif,Positif,,Positif,1,0,0,1,1.0,0,1,not_ambiguous,Tidak teridentifikasi,False,0,sampel tambahan,Tidak berubah,Tidak berubah,,1,2026-05-16 10:11:39.628573
R00039,44,YLq9NVWk23U,2022-12-01 01:59:04,@dens6981,@KojekPop Candy nanti lihat digital money menggunakan apa yg kita sebut teknologi blockchain dan itu hanya ada d kripto sebagai pusatnya,Candy nanti lihat digital money menggunakan apa yg kita sebut teknologi blockchain dan itu hanya ada d kripto sebagai pusatnya,candy nanti lihat digital money menggunakan apa yg kita sebut teknologi blockchain dan itu hanya ada d kripto sebagai pusatnya,Netral,Netral,Netral,Netral,Netral,Netral,0,0,1,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,1,2026-05-16 10:11:39.628594
R00040,45,YLq9NVWk23U,2022-12-01 02:04:13,@harryyoyok,sebelah mana tuh kementerian,sebelah mana tuh kementerian,sebelah mana tuh kementerian,Netral,Netral,Netral,Netral,Netral,Netral,0,0,0,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,1,2026-05-16 10:11:39.628608
R00041,46,YLq9NVWk23U,2022-12-01 02:13:26,@qa23166,Lebih aman transaksi tunai. Yang digital ini kan sudah banyak kasus uang hilang atau dicuri. Kebebasan dengan uang tunai tidak ternilai olrh apapun.,Lebih aman transaksi tunai. Yang digital ini kan sudah banyak kasus uang hilang atau dicuri. Kebebasan dengan uang tunai tidak ternilai olrh apapun.,lebih aman transaksi tunai. yang digital ini kan sudah banyak kasus uang hilang atau dicuri. kebebasan dengan uang tunai tidak ternilai olrh apapun.,Negatif,Negatif,Negatif,Negatif,,Negatif,0,-4,0,-4,1.0,0,1,not_ambiguous,Kebutuhan terhadap uang tunai; Keamanan data dan kontrol,True,4,isu uang tunai; pola negatif terdeteksi,Tidak berubah,Tidak berubah,,3,2026-05-16 10:11:39.628570
R00042,47,YLq9NVWk23U,2022-12-01 02:13:44,@HypeBizz,"Saya pelaku crypto merasa senang Indonesia bisa sigap dengan perkembangan crypto, jangan mau ketinggalan lagi buat langkah lebih cepat","Saya pelaku crypto merasa senang Indonesia bisa sigap dengan perkembangan crypto, jangan mau ketinggalan lagi buat langkah lebih cepat","saya pelaku crypto merasa senang indonesia bisa sigap dengan perkembangan crypto, jangan mau ketinggalan lagi buat langkah lebih cepat",Positif,Positif,Positif,Positif,,Positif,2,0,0,2,1.0,0,1,not_ambiguous,Tidak teridentifikasi,False,0,sampel tambahan,Tidak berubah,Tidak berubah,,11,2026-05-16 10:11:39.628567
R00043,48,YLq9NVWk23U,2022-12-01 02:14:15,@HypeBizz,"Bitcoin aja pak, emas beda lagi","Bitcoin aja pak, emas beda lagi","bitcoin aja pak, emas beda lagi",Netral,Netral,Netral,Netral,Netral,Netral,0,0,0,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,1,2026-05-16 10:11:39.628617
R00044,49,YLq9NVWk23U,2022-12-01 02:15:24,@HypeBizz,"@Istianah-sn8qi jangan pesimis dulu mba, lihat kedepannya bagemana","sn8qi jangan pesimis dulu mba, lihat kedepannya bagemana","sn8qi jangan pesimis dulu mba, lihat kedepannya bagemana",Netral,Netral,Netral,Netral,Netral,Netral,0,0,0,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,0,2026-05-16 10:11:39.628597
