row_id,VideoID,CommentDate,UserName,Comment,clean_comment,final_label,cash_response_category,text_nb_svm
R03576,PMuEX5Qbmzo,2024-10-23 12:14:52,@trisulagarudasakti5757,"Anggap saja CBDC adalah TEORI KONSPIRASI...

Maka SOFTWARE ISA juga bisa dianggap TEORI KONSPIRASI...

Begini TEORI KONSPIRASI SOFTWARE ISA buatan kami  :

INTERNASIONAL SUNDA ARCHIPELAGO (ISA) ::

ISA adalah sebuah sistem finansial global yang kami hadirkan untuk Anda dalam mengatur transaksi keuangan masyarakat di dunia dengan basis cryptocurrency atau uang digital yang berbasis nilai emas yang tidak terbantahkan...

Sistem transaksi keuangan baru untuk dunia baru...

PERJANJIAN LAMA KEUANGAN DUNIA (FIAT MONEY) TELAH USAI, PERJANJIAN BARU KEUANGAN DUNIA (ISA) SEDANG DIMULAI...

Dunia keuangan tanpa batas sekat agama, negara dan adat...

BERLAKU GLOBAL DI SELURUH DUNIA...

UNIVERSAL, RAHMATAN LIL A'LAMIN...

HALAL DAN THAYIB...!!!

ANTI UANG RIBA...!!!

Sistem keuangan digital koin emas yang berkah, damai dan membahagiakan...

Bahagia lahir batin...
Selamat dunia dan akhirat...

MENGGELAR RISALAH BALDATUN THAYIBATUN WA RABBUN GHAFUR...

---

Dalam teknis pelaksanaannya, ISA mengeluarkan C-KEN alias Cryptocurrency Koin Emas Nusantara di seluruh masyarakat dunia...

ISA adalah softwarenya...

C-KEN adalah hardwarenya...

Manusia sebagai pelaku transaksi keuangannya adalah HUMMANWARE...

Ruh - Jasad - Sukma...
Spirit - Body - Soul...

HUMMANWARE - HARDWARE - SOFTWARE...

---

Setiap koin C-KEN selalu berkoneksi dengan Software ISA...

Ibarat jasad yang selalu terhubung dengan Sukma...

KOIN C-KEN menawarkan banyak keunggulan dibandingkan mata uang fiat tradisional dan mata uang digital yang ada :

1. Stabilitas : Dukungan emas memastikan bahwa nilai C-KEN tetap stabil, melindungi dari inflasi dan volatilitas ekonomi...

2. Keamanan : Sistem Software ISA menyediakan keamanan yang tak tertandingi, melindungi dari penipuan, peretasan, dan manipulasi...

3. Transparansi : Setiap transaksi dicatat pada Software ISA, memastikan transparansi dan akuntabilitas penuh...

4. Efisiensi : Sifat digital dari C-KEN memungkinkan transaksi yang cepat dan efisien, baik domestik maupun internasional...

5. Aksesibilitas : C-KEN dapat diakses oleh semua orang, menyediakan opsi mata uang yang andal dan stabil bagi individu dan bisnis...

---

Koin emas C-KEN mengatasi kekurangan mata uang fiat dan digital diseluruh dunia. Didukung oleh Software ISA dan Koin C-KEN, mata uang baru ini akan menggabungkan stabilitas mata uang tradisional yang didukung emas dengan efisiensi dan transparansi mata uang digital. Pendekatan revolusioner ini menjanjikan untuk memulihkan kepercayaan pada sistem keuangan kita dan membuka jalan bagi masa depan yang lebih stabil dan sejahtera...

Inti dari C-KEN adalah Sistem Software ISA, yang pada teknisnya berupa Cryptocurrency uang digital yang bermobilitas tinggi dalam bentuk kartu token atau transaksi via handphone alias uang digital...

Software ISA adalah jaringan keuangan canggih yang memanfaatkan teknologi komputasi kuantum untuk memastikan tingkat keamanan, transparansi, dan efisiensi tertinggi. Tidak seperti sistem keuangan tradisional, yang rentan terhadap peretasan, penipuan, dan manipulasi, Software ISA hampir tidak dapat ditembus. Sistem ini memastikan bahwa setiap transaksi aman, transparan, dan tidak dapat diubah...

Landasan Koin C-KEN adalah dukungan emasnya. Setiap Koin C-KEN didukung oleh sejumlah emas tertentu, yang memastikan bahwa uang tersebut memiliki nilai intrinsik. Dukungan emas ini memberikan stabilitas dan melindungi terhadap inflasi, menjadikan C-KEN sebagai penyimpan nilai yang andal. Ini adalah kembalinya ke prinsip yang telah lama dihormati dan teruji oleh waktu: uang harus didukung oleh aset nyata dan berwujud...

Dukungan C-KEN dicapai melalui Sertifikat Emas Digital yang dikeluarkan oleh Software ISA yang berfungsi sebagai satu kenaikan mata uang dalam mata uang negara mana pun. Sertifikat Emas ini akan merujuk kembali ke satu kilo emas batangan atau koin yang diidentifikasinya...

Jadi di dalam sebuah koin C-KEN akan dibenamkan pengamanan lokasi GPS serta nomer seri kode sertifikat emas ibarat STNK MOTOR... 

Di dalam setiap koin emas juga terdapat ID nomor seri kepemilikan C-KEN, ibarat nomer registrasi BPKB MOTOR...

Jadi setiap koin emas C-KEN sudah dibenamkan teknologi kepemilikan yang bisa dialihnamakan, disewakan, diperjualbelikan atau ditransaksikan secara nasional maupun internasional oleh pemilik C-KEN diseluruh penjuru negara yang ada di dunia...","Anggap saja CBDC adalah TEORI KONSPIRASI... Maka SOFTWARE ISA juga bisa dianggap TEORI KONSPIRASI... Begini TEORI KONSPIRASI SOFTWARE ISA buatan kami INTERNASIONAL SUNDA ARCHIPELAGO ISA ISA adalah sebuah sistem finansial global yang kami hadirkan untuk Anda dalam mengatur transaksi keuangan masyarakat di dunia dengan basis cryptocurrency atau uang digital yang berbasis nilai emas yang tidak terbantahkan... Sistem transaksi keuangan baru untuk dunia baru... PERJANJIAN LAMA KEUANGAN DUNIA FIAT MONEY TELAH USAI, PERJANJIAN BARU KEUANGAN DUNIA ISA SEDANG DIMULAI... Dunia keuangan tanpa batas sekat agama, negara dan adat... BERLAKU GLOBAL DI SELURUH DUNIA... UNIVERSAL, RAHMATAN LIL A'LAMIN... HALAL DAN THAYIB...!!! ANTI UANG RIBA...!!! Sistem keuangan digital koin emas yang berkah, damai dan membahagiakan... Bahagia lahir batin... Selamat dunia dan akhirat... MENGGELAR RISALAH BALDATUN THAYIBATUN WA RABBUN GHAFUR... Dalam teknis pelaksanaannya, ISA mengeluarkan C KEN alias Cryptocurrency Koin Emas Nusantara di seluruh masyarakat dunia... ISA adalah softwarenya... C KEN adalah hardwarenya... Manusia sebagai pelaku transaksi keuangannya adalah HUMMANWARE... Ruh Jasad Sukma... Spirit Body Soul... HUMMANWARE HARDWARE SOFTWARE... Setiap koin C KEN selalu berkoneksi dengan Software ISA... Ibarat jasad yang selalu terhubung dengan Sukma... KOIN C KEN menawarkan banyak keunggulan dibandingkan mata uang fiat tradisional dan mata uang digital yang ada 1. Stabilitas Dukungan emas memastikan bahwa nilai C KEN tetap stabil, melindungi dari inflasi dan volatilitas ekonomi... 2. Keamanan Sistem Software ISA menyediakan keamanan yang tak tertandingi, melindungi dari penipuan, peretasan, dan manipulasi... 3. Transparansi Setiap transaksi dicatat pada Software ISA, memastikan transparansi dan akuntabilitas penuh... 4. Efisiensi Sifat digital dari C KEN memungkinkan transaksi yang cepat dan efisien, baik domestik maupun internasional... 5. Aksesibilitas C KEN dapat diakses oleh semua orang, menyediakan opsi mata uang yang andal dan stabil bagi individu dan bisnis... Koin emas C KEN mengatasi kekurangan mata uang fiat dan digital diseluruh dunia. Didukung oleh Software ISA dan Koin C KEN, mata uang baru ini akan menggabungkan stabilitas mata uang tradisional yang didukung emas dengan efisiensi dan transparansi mata uang digital. Pendekatan revolusioner ini menjanjikan untuk memulihkan kepercayaan pada sistem keuangan kita dan membuka jalan bagi masa depan yang lebih stabil dan sejahtera... Inti dari C KEN adalah Sistem Software ISA, yang pada teknisnya berupa Cryptocurrency uang digital yang bermobilitas tinggi dalam bentuk kartu token atau transaksi via handphone alias uang digital... Software ISA adalah jaringan keuangan canggih yang memanfaatkan teknologi komputasi kuantum untuk memastikan tingkat keamanan, transparansi, dan efisiensi tertinggi. Tidak seperti sistem keuangan tradisional, yang rentan terhadap peretasan, penipuan, dan manipulasi, Software ISA hampir tidak dapat ditembus. Sistem ini memastikan bahwa setiap transaksi aman, transparan, dan tidak dapat diubah... Landasan Koin C KEN adalah dukungan emasnya. Setiap Koin C KEN didukung oleh sejumlah emas tertentu, yang memastikan bahwa uang tersebut memiliki nilai intrinsik. Dukungan emas ini memberikan stabilitas dan melindungi terhadap inflasi, menjadikan C KEN sebagai penyimpan nilai yang andal. Ini adalah kembalinya ke prinsip yang telah lama dihormati dan teruji oleh waktu uang harus didukung oleh aset nyata dan berwujud... Dukungan C KEN dicapai melalui Sertifikat Emas Digital yang dikeluarkan oleh Software ISA yang berfungsi sebagai satu kenaikan mata uang dalam mata uang negara mana pun. Sertifikat Emas ini akan merujuk kembali ke satu kilo emas batangan atau koin yang diidentifikasinya... Jadi di dalam sebuah koin C KEN akan dibenamkan pengamanan lokasi GPS serta nomer seri kode sertifikat emas ibarat STNK MOTOR... Di dalam setiap koin emas juga terdapat ID nomor seri kepemilikan C KEN, ibarat nomer registrasi BPKB MOTOR... Jadi setiap koin emas C KEN sudah dibenamkan teknologi kepemilikan yang bisa dialihnamakan, disewakan, diperjualbelikan atau ditransaksikan secara nasional maupun internasional oleh pemilik C KEN diseluruh penjuru negara yang ada di dunia...",Netral,Kepercayaan terhadap regulator; Efisiensi dan kemudahan transaksi; Tanggapan mendukung digitalisasi,anggap central bank digital currency teori konspirasi software isa anggap teori konspirasi begini teori konspirasi software isa buat internasional sunda archipelago isa isa buah sistem finansial global hadir atur transaksi uang masyarakat dunia basis kripto uang digital bas nilai emas tidak bantah sistem transaksi uang baru dunia baru janji lama uang dunia fiat money usai janji baru uang dunia isa sedang mulai dunia uang tanpa batas sekat agama negara adat laku global seluruh dunia universal rahmat lil a lamin halal thayib anti uang riba sistem uang digital koin emas berkah damai bahagia bahagia lahir batin selamat dunia akhirat gelar risalah baldatun thayibatun wa rabbun ghafur teknis laksana isa keluar c ken alias kripto koin emas nusantara seluruh masyarakat dunia isa softwarenya c ken hardwarenya manusia laku transaksi uang hummanware ruh jasad sukma spirit body soul hummanware hardware software koin c ken selalu koneksi software isa ibarat jasad selalu hubung sukma koin c ken tawar banyak unggul banding mata uang fiat tradisional mata uang digital stabilitas dukung emas pasti nilai c ken tetap stabil lindung inflasi volatilitas ekonomi aman sistem software isa sedia aman tidak tanding lindung tipu retas manipulasi transparansi transaksi catat software isa pasti transparansi akuntabilitas penuh efisiensi sifat digital c ken mungkin transaksi cepat efisien baik domestik maupun internasional aksesibilitas c ken akses semua orang sedia opsi mata uang andal stabil individu bisnis koin emas c ken atas kurang mata uang fiat digital seluruh dunia dukung software isa koin c ken mata uang baru gabung stabilitas mata uang tradisional dukung emas efisiensi transparansi mata uang digital dekat revolusioner janji pulih percaya sistem uang buka jalan masa depan lebih stabil sejahtera inti c ken sistem software isa teknis upa kripto uang digital mobilitas tinggi bentuk kartu token transaksi via handphone alias uang digital software isa jaring uang canggih manfaat teknologi komputasi kuantum pasti tingkat aman transparansi efisiensi tinggi tidak sistem uang tradisional rentan retas tipu manipulasi software isa hampir tidak tembus sistem pasti transaksi aman transparan tidak ubah landas koin c ken dukung emas koin c ken dukung jumlah emas tentu pasti uang sebut milik nilai intrinsik dukung emas beri stabilitas lindung inflasi jadi c ken simpan nilai andal kembali prinsip lama hormat uji waktu uang dukung aset nyata wujud dukung c ken capai lalu sertifikat emas digital keluar software isa fungsi satu naik mata uang mata uang negara mana sertifikat emas rujuk satu kilo emas batang koin identifikasi jadi buah koin c ken benam aman lokasi gps nomer seri kode sertifikat emas ibarat stnk motor koin emas dapat id nomor seri milik c ken ibarat nomer registrasi bpkb motor jadi koin emas c ken benam teknologi milik dialihnamakan sewa diperjualbelikan transaksi nasional maupun internasional milik c ken seluruh penjuru negara dunia
R00471,DbrALSY_wko,2022-12-07 06:44:37,@adeutama4211,Bilang aja sih bu jujur aja rupiah digital itu sama seperti crypto basisnya blockchain,Bilang aja sih bu jujur aja rupiah digital itu sama seperti crypto basisnya blockchain,Netral,Tidak teridentifikasi,bilang aja sih bu jujur aja rupiah digital sama kripto basis blokchain
R02974,PMuEX5Qbmzo,2024-08-13 14:55:32,@wawansudrajad6887,"Tenang saja

Nabi Muhammad Shallallahu Alaihi Wasallam bersabda 1400 tahun silam:

“Akan datang suatu masa pada umat manusia, pada saat itu orang yang tidak memiliki putih (perak) dan kuning (emas), dia akan kesusahan dalam kehidupan” (H.R. Imam Thabrani)

“Akan datang suatu masa pada umat manusia, pada masa itu tidak ada yang bermanfaat kecuali dinar (uang emas) dan dirham (uang perak).” (H.R. Imam Ahmad)

“Apabila di akhir zaman, manusia di kalangan mereka itu harus menggunakan dirham-dirham dan  dinar-dinar  sehingga dengan kedua mata uang itu seorang laki-laki menegakkan agama dan dunianya.” (H.R. Imam Al-Thabrani).

Sekarang mulai koleksi dan tabung kepingan Emas dan perak, kita akan transaksi pakai Dinar dan dirham.!","Tenang saja Nabi Muhammad Shallallahu Alaihi Wasallam bersabda 1400 tahun silam Akan datang suatu masa pada umat manusia, pada saat itu orang yang tidak memiliki putih perak dan kuning emas , dia akan kesusahan dalam kehidupan H.R. Imam Thabrani Akan datang suatu masa pada umat manusia, pada masa itu tidak ada yang bermanfaat kecuali dinar uang emas dan dirham uang perak . H.R. Imam Ahmad Apabila di akhir zaman, manusia di kalangan mereka itu harus menggunakan dirham dirham dan dinar dinar sehingga dengan kedua mata uang itu seorang laki laki menegakkan agama dan dunianya. H.R. Imam Al Thabrani . Sekarang mulai koleksi dan tabung kepingan Emas dan perak, kita akan transaksi pakai Dinar dan dirham.!",Positif,Tidak teridentifikasi,tenang nabi muhammad shallallahu alaihi wasallam sabda tahun silam datang suatu masa umat manusia orang tidak milik putih perak kuning emas susah hidup h r imam thabrani datang suatu masa umat manusia masa tidak manfaat dinar uang emas dirham uang perak h r imam ahmad apabila akhir zaman manusia kalang guna dirham dirham dinar dinar dua mata uang orang laki laki tegak agama dunia h r imam al thabrani sekarang mulai koleksi tabung keping emas perak transaksi pakai dinar dirham
R01962,SxMdI5sabb0,2023-02-08 22:34:09,@NgomonginUang,Uang siapa ini yang ditaruh di bunker 🙃,Uang siapa ini yang ditaruh di bunker,Netral,Tidak teridentifikasi,uang siapa taruh bunker
R00025,YLq9NVWk23U,2022-11-30 23:42:45,@turimin9006,"Mantap, maju terus Indonesiaku","Mantap, maju terus Indonesiaku",Positif,Tidak teridentifikasi,mantap maju terus indonesia
R00192,CQr5wbSc-TI,2022-12-05 11:10:03,@GOLDEN_ROGER118,Rupiah DIGITAL 👉🇨🇳 IKUT CHINA'S,Rupiah DIGITAL IKUT CHINA'S,Netral,Tidak teridentifikasi,rupiah digital ikut china s
R04682,gU62EuPDWaY,2026-05-08 07:24:21,@Adrianza_Alsyazani,"para aktivis Cypherpunk yang melatarbelakangi lahirnya teknologi blockchain inipun menentang CBDC, ini adalah bentuk  ko-optasi Teknologi Kriptografi dan blockchain yang awalnya mereka ciptakan untuk membebaskan individu (desentralisasi) dari otoritas, pusat, kekuasaan dan sentralitasnya.  Jika Negara memang ingin dianggap terlihat modern  dengan menggunakan teknologi ini, setidaknya dari segi etika terapan,  mereka bisa gunakan blockchain ini tidak pada tingkatan seluruh negara, namun terbatas pada negara dan lembaga negara yang menerima APBN, silakan Validatornya Bank Sentral dan beberapa Bank lainnya, namun buat explolernya publik (jadi bangun blockchain tipe hybrid), tag nama lembaga atau instansi-nya dengan domain names, setiap transaksi berikan pesan note yang bisa masyarakat selidiki benarkah anggaran dari transaksi itu masuk akal, dengan begini para Cypherpunk mungkin akan bertepuk tangan karena teknologi blockchain dijadikan alat audit dimana aliran anggaran apbn bisa dilacak oleh masyarakat langsung.","para aktivis Cypherpunk yang melatarbelakangi lahirnya teknologi blockchain inipun menentang CBDC, ini adalah bentuk ko optasi Teknologi Kriptografi dan blockchain yang awalnya mereka ciptakan untuk membebaskan individu desentralisasi dari otoritas, pusat, kekuasaan dan sentralitasnya. Jika Negara memang ingin dianggap terlihat modern dengan menggunakan teknologi ini, setidaknya dari segi etika terapan, mereka bisa gunakan blockchain ini tidak pada tingkatan seluruh negara, namun terbatas pada negara dan lembaga negara yang menerima APBN, silakan Validatornya Bank Sentral dan beberapa Bank lainnya, namun buat explolernya publik jadi bangun blockchain tipe hybrid , tag nama lembaga atau instansi nya dengan domain names, setiap transaksi berikan pesan note yang bisa masyarakat selidiki benarkah anggaran dari transaksi itu masuk akal, dengan begini para Cypherpunk mungkin akan bertepuk tangan karena teknologi blockchain dijadikan alat audit dimana aliran anggaran apbn bisa dilacak oleh masyarakat langsung.",Negatif,Keamanan data dan kontrol,aktivis cypherpunk melatarbelakangi lahir teknologi blokchain ini tentang central bank digital currency bentuk ko optasi teknologi kriptografi blokchain awal cipta bebas individu desentralisasi otoritas pusat kuasa sentralitasnya negara memang anggap lihat modern guna teknologi segi etika terap guna blokchain tidak tingkat seluruh negara batas negara lembaga negara terima apbn sila validatornya bank sentral beberapa bank lain explolernya publik jadi bangun blokchain tipe hybrid tag nama lembaga instansi nya domain names transaksi ikan pesan note masyarakat selidik benar anggar transaksi masuk akal begini cypherpunk mungkin tepuk tangan teknologi blokchain jadi alat audit alir anggar apbn lacak masyarakat langsung
R03687,PMuEX5Qbmzo,2025-08-16 15:15:29,@gudel98,"Jika pemerintah nya baik, maka cbdc ini sangat bagus, tapi jika pemerintah nya buruk maka cbcd bisa jadi alat untuk menghancurkan masyarakat","Jika pemerintah nya baik, maka cbdc ini sangat bagus, tapi jika pemerintah nya buruk maka cbcd bisa jadi alat untuk menghancurkan masyarakat",Netral,Tanggapan mendukung digitalisasi,perintah nya baik central bank digital currency sangat bagus perintah nya buruk cbcd jadi alat hancur masyarakat
R00750,Bn_MTSqW3bE,2022-12-17 08:41:35,@suryakusuma8358,"@saya8098 , ATM ga masuk virtual ,, karena mengunakan kartu",", ATM ga masuk virtual ,, karena mengunakan kartu",Netral,Tidak teridentifikasi,atm tidak masuk virtual mengunakan kartu
R03524,ebkamQER1nM,2024-09-09 07:07:15,@ridhowijoyo9864,Bisa menghabiskan uang negara untuk hal hal yg tidak perlu....mending keamananya saja di tingkatkan,Bisa menghabiskan uang negara untuk hal hal yg tidak perlu....mending keamananya saja di tingkatkan,Positif,Tidak teridentifikasi,habis uang negara tidak perlu mending keamananya tingkat
