row_id,VideoID,CommentDate,UserName,Comment,clean_comment,final_label,cash_response_category
R03576,PMuEX5Qbmzo,2024-10-23 12:14:52,@trisulagarudasakti5757,"Anggap saja CBDC adalah TEORI KONSPIRASI...

Maka SOFTWARE ISA juga bisa dianggap TEORI KONSPIRASI...

Begini TEORI KONSPIRASI SOFTWARE ISA buatan kami  :

INTERNASIONAL SUNDA ARCHIPELAGO (ISA) ::

ISA adalah sebuah sistem finansial global yang kami hadirkan untuk Anda dalam mengatur transaksi keuangan masyarakat di dunia dengan basis cryptocurrency atau uang digital yang berbasis nilai emas yang tidak terbantahkan...

Sistem transaksi keuangan baru untuk dunia baru...

PERJANJIAN LAMA KEUANGAN DUNIA (FIAT MONEY) TELAH USAI, PERJANJIAN BARU KEUANGAN DUNIA (ISA) SEDANG DIMULAI...

Dunia keuangan tanpa batas sekat agama, negara dan adat...

BERLAKU GLOBAL DI SELURUH DUNIA...

UNIVERSAL, RAHMATAN LIL A'LAMIN...

HALAL DAN THAYIB...!!!

ANTI UANG RIBA...!!!

Sistem keuangan digital koin emas yang berkah, damai dan membahagiakan...

Bahagia lahir batin...
Selamat dunia dan akhirat...

MENGGELAR RISALAH BALDATUN THAYIBATUN WA RABBUN GHAFUR...

---

Dalam teknis pelaksanaannya, ISA mengeluarkan C-KEN alias Cryptocurrency Koin Emas Nusantara di seluruh masyarakat dunia...

ISA adalah softwarenya...

C-KEN adalah hardwarenya...

Manusia sebagai pelaku transaksi keuangannya adalah HUMMANWARE...

Ruh - Jasad - Sukma...
Spirit - Body - Soul...

HUMMANWARE - HARDWARE - SOFTWARE...

---

Setiap koin C-KEN selalu berkoneksi dengan Software ISA...

Ibarat jasad yang selalu terhubung dengan Sukma...

KOIN C-KEN menawarkan banyak keunggulan dibandingkan mata uang fiat tradisional dan mata uang digital yang ada :

1. Stabilitas : Dukungan emas memastikan bahwa nilai C-KEN tetap stabil, melindungi dari inflasi dan volatilitas ekonomi...

2. Keamanan : Sistem Software ISA menyediakan keamanan yang tak tertandingi, melindungi dari penipuan, peretasan, dan manipulasi...

3. Transparansi : Setiap transaksi dicatat pada Software ISA, memastikan transparansi dan akuntabilitas penuh...

4. Efisiensi : Sifat digital dari C-KEN memungkinkan transaksi yang cepat dan efisien, baik domestik maupun internasional...

5. Aksesibilitas : C-KEN dapat diakses oleh semua orang, menyediakan opsi mata uang yang andal dan stabil bagi individu dan bisnis...

---

Koin emas C-KEN mengatasi kekurangan mata uang fiat dan digital diseluruh dunia. Didukung oleh Software ISA dan Koin C-KEN, mata uang baru ini akan menggabungkan stabilitas mata uang tradisional yang didukung emas dengan efisiensi dan transparansi mata uang digital. Pendekatan revolusioner ini menjanjikan untuk memulihkan kepercayaan pada sistem keuangan kita dan membuka jalan bagi masa depan yang lebih stabil dan sejahtera...

Inti dari C-KEN adalah Sistem Software ISA, yang pada teknisnya berupa Cryptocurrency uang digital yang bermobilitas tinggi dalam bentuk kartu token atau transaksi via handphone alias uang digital...

Software ISA adalah jaringan keuangan canggih yang memanfaatkan teknologi komputasi kuantum untuk memastikan tingkat keamanan, transparansi, dan efisiensi tertinggi. Tidak seperti sistem keuangan tradisional, yang rentan terhadap peretasan, penipuan, dan manipulasi, Software ISA hampir tidak dapat ditembus. Sistem ini memastikan bahwa setiap transaksi aman, transparan, dan tidak dapat diubah...

Landasan Koin C-KEN adalah dukungan emasnya. Setiap Koin C-KEN didukung oleh sejumlah emas tertentu, yang memastikan bahwa uang tersebut memiliki nilai intrinsik. Dukungan emas ini memberikan stabilitas dan melindungi terhadap inflasi, menjadikan C-KEN sebagai penyimpan nilai yang andal. Ini adalah kembalinya ke prinsip yang telah lama dihormati dan teruji oleh waktu: uang harus didukung oleh aset nyata dan berwujud...

Dukungan C-KEN dicapai melalui Sertifikat Emas Digital yang dikeluarkan oleh Software ISA yang berfungsi sebagai satu kenaikan mata uang dalam mata uang negara mana pun. Sertifikat Emas ini akan merujuk kembali ke satu kilo emas batangan atau koin yang diidentifikasinya...

Jadi di dalam sebuah koin C-KEN akan dibenamkan pengamanan lokasi GPS serta nomer seri kode sertifikat emas ibarat STNK MOTOR... 

Di dalam setiap koin emas juga terdapat ID nomor seri kepemilikan C-KEN, ibarat nomer registrasi BPKB MOTOR...

Jadi setiap koin emas C-KEN sudah dibenamkan teknologi kepemilikan yang bisa dialihnamakan, disewakan, diperjualbelikan atau ditransaksikan secara nasional maupun internasional oleh pemilik C-KEN diseluruh penjuru negara yang ada di dunia...","Anggap saja CBDC adalah TEORI KONSPIRASI... Maka SOFTWARE ISA juga bisa dianggap TEORI KONSPIRASI... Begini TEORI KONSPIRASI SOFTWARE ISA buatan kami INTERNASIONAL SUNDA ARCHIPELAGO ISA ISA adalah sebuah sistem finansial global yang kami hadirkan untuk Anda dalam mengatur transaksi keuangan masyarakat di dunia dengan basis cryptocurrency atau uang digital yang berbasis nilai emas yang tidak terbantahkan... Sistem transaksi keuangan baru untuk dunia baru... PERJANJIAN LAMA KEUANGAN DUNIA FIAT MONEY TELAH USAI, PERJANJIAN BARU KEUANGAN DUNIA ISA SEDANG DIMULAI... Dunia keuangan tanpa batas sekat agama, negara dan adat... BERLAKU GLOBAL DI SELURUH DUNIA... UNIVERSAL, RAHMATAN LIL A'LAMIN... HALAL DAN THAYIB...!!! ANTI UANG RIBA...!!! Sistem keuangan digital koin emas yang berkah, damai dan membahagiakan... Bahagia lahir batin... Selamat dunia dan akhirat... MENGGELAR RISALAH BALDATUN THAYIBATUN WA RABBUN GHAFUR... Dalam teknis pelaksanaannya, ISA mengeluarkan C KEN alias Cryptocurrency Koin Emas Nusantara di seluruh masyarakat dunia... ISA adalah softwarenya... C KEN adalah hardwarenya... Manusia sebagai pelaku transaksi keuangannya adalah HUMMANWARE... Ruh Jasad Sukma... Spirit Body Soul... HUMMANWARE HARDWARE SOFTWARE... Setiap koin C KEN selalu berkoneksi dengan Software ISA... Ibarat jasad yang selalu terhubung dengan Sukma... KOIN C KEN menawarkan banyak keunggulan dibandingkan mata uang fiat tradisional dan mata uang digital yang ada 1. Stabilitas Dukungan emas memastikan bahwa nilai C KEN tetap stabil, melindungi dari inflasi dan volatilitas ekonomi... 2. Keamanan Sistem Software ISA menyediakan keamanan yang tak tertandingi, melindungi dari penipuan, peretasan, dan manipulasi... 3. Transparansi Setiap transaksi dicatat pada Software ISA, memastikan transparansi dan akuntabilitas penuh... 4. Efisiensi Sifat digital dari C KEN memungkinkan transaksi yang cepat dan efisien, baik domestik maupun internasional... 5. Aksesibilitas C KEN dapat diakses oleh semua orang, menyediakan opsi mata uang yang andal dan stabil bagi individu dan bisnis... Koin emas C KEN mengatasi kekurangan mata uang fiat dan digital diseluruh dunia. Didukung oleh Software ISA dan Koin C KEN, mata uang baru ini akan menggabungkan stabilitas mata uang tradisional yang didukung emas dengan efisiensi dan transparansi mata uang digital. Pendekatan revolusioner ini menjanjikan untuk memulihkan kepercayaan pada sistem keuangan kita dan membuka jalan bagi masa depan yang lebih stabil dan sejahtera... Inti dari C KEN adalah Sistem Software ISA, yang pada teknisnya berupa Cryptocurrency uang digital yang bermobilitas tinggi dalam bentuk kartu token atau transaksi via handphone alias uang digital... Software ISA adalah jaringan keuangan canggih yang memanfaatkan teknologi komputasi kuantum untuk memastikan tingkat keamanan, transparansi, dan efisiensi tertinggi. Tidak seperti sistem keuangan tradisional, yang rentan terhadap peretasan, penipuan, dan manipulasi, Software ISA hampir tidak dapat ditembus. Sistem ini memastikan bahwa setiap transaksi aman, transparan, dan tidak dapat diubah... Landasan Koin C KEN adalah dukungan emasnya. Setiap Koin C KEN didukung oleh sejumlah emas tertentu, yang memastikan bahwa uang tersebut memiliki nilai intrinsik. Dukungan emas ini memberikan stabilitas dan melindungi terhadap inflasi, menjadikan C KEN sebagai penyimpan nilai yang andal. Ini adalah kembalinya ke prinsip yang telah lama dihormati dan teruji oleh waktu uang harus didukung oleh aset nyata dan berwujud... Dukungan C KEN dicapai melalui Sertifikat Emas Digital yang dikeluarkan oleh Software ISA yang berfungsi sebagai satu kenaikan mata uang dalam mata uang negara mana pun. Sertifikat Emas ini akan merujuk kembali ke satu kilo emas batangan atau koin yang diidentifikasinya... Jadi di dalam sebuah koin C KEN akan dibenamkan pengamanan lokasi GPS serta nomer seri kode sertifikat emas ibarat STNK MOTOR... Di dalam setiap koin emas juga terdapat ID nomor seri kepemilikan C KEN, ibarat nomer registrasi BPKB MOTOR... Jadi setiap koin emas C KEN sudah dibenamkan teknologi kepemilikan yang bisa dialihnamakan, disewakan, diperjualbelikan atau ditransaksikan secara nasional maupun internasional oleh pemilik C KEN diseluruh penjuru negara yang ada di dunia...",Netral,Kepercayaan terhadap regulator; Efisiensi dan kemudahan transaksi; Tanggapan mendukung digitalisasi
R00471,DbrALSY_wko,2022-12-07 06:44:37,@adeutama4211,Bilang aja sih bu jujur aja rupiah digital itu sama seperti crypto basisnya blockchain,Bilang aja sih bu jujur aja rupiah digital itu sama seperti crypto basisnya blockchain,Netral,Tidak teridentifikasi
R02974,PMuEX5Qbmzo,2024-08-13 14:55:32,@wawansudrajad6887,"Tenang saja

Nabi Muhammad Shallallahu Alaihi Wasallam bersabda 1400 tahun silam:

“Akan datang suatu masa pada umat manusia, pada saat itu orang yang tidak memiliki putih (perak) dan kuning (emas), dia akan kesusahan dalam kehidupan” (H.R. Imam Thabrani)

“Akan datang suatu masa pada umat manusia, pada masa itu tidak ada yang bermanfaat kecuali dinar (uang emas) dan dirham (uang perak).” (H.R. Imam Ahmad)

“Apabila di akhir zaman, manusia di kalangan mereka itu harus menggunakan dirham-dirham dan  dinar-dinar  sehingga dengan kedua mata uang itu seorang laki-laki menegakkan agama dan dunianya.” (H.R. Imam Al-Thabrani).

Sekarang mulai koleksi dan tabung kepingan Emas dan perak, kita akan transaksi pakai Dinar dan dirham.!","Tenang saja Nabi Muhammad Shallallahu Alaihi Wasallam bersabda 1400 tahun silam Akan datang suatu masa pada umat manusia, pada saat itu orang yang tidak memiliki putih perak dan kuning emas , dia akan kesusahan dalam kehidupan H.R. Imam Thabrani Akan datang suatu masa pada umat manusia, pada masa itu tidak ada yang bermanfaat kecuali dinar uang emas dan dirham uang perak . H.R. Imam Ahmad Apabila di akhir zaman, manusia di kalangan mereka itu harus menggunakan dirham dirham dan dinar dinar sehingga dengan kedua mata uang itu seorang laki laki menegakkan agama dan dunianya. H.R. Imam Al Thabrani . Sekarang mulai koleksi dan tabung kepingan Emas dan perak, kita akan transaksi pakai Dinar dan dirham.!",Positif,Tidak teridentifikasi
R01962,SxMdI5sabb0,2023-02-08 22:34:09,@NgomonginUang,Uang siapa ini yang ditaruh di bunker 🙃,Uang siapa ini yang ditaruh di bunker,Netral,Tidak teridentifikasi
R00025,YLq9NVWk23U,2022-11-30 23:42:45,@turimin9006,"Mantap, maju terus Indonesiaku","Mantap, maju terus Indonesiaku",Positif,Tidak teridentifikasi
R00192,CQr5wbSc-TI,2022-12-05 11:10:03,@GOLDEN_ROGER118,Rupiah DIGITAL 👉🇨🇳 IKUT CHINA'S,Rupiah DIGITAL IKUT CHINA'S,Netral,Tidak teridentifikasi
R04682,gU62EuPDWaY,2026-05-08 07:24:21,@Adrianza_Alsyazani,"para aktivis Cypherpunk yang melatarbelakangi lahirnya teknologi blockchain inipun menentang CBDC, ini adalah bentuk  ko-optasi Teknologi Kriptografi dan blockchain yang awalnya mereka ciptakan untuk membebaskan individu (desentralisasi) dari otoritas, pusat, kekuasaan dan sentralitasnya.  Jika Negara memang ingin dianggap terlihat modern  dengan menggunakan teknologi ini, setidaknya dari segi etika terapan,  mereka bisa gunakan blockchain ini tidak pada tingkatan seluruh negara, namun terbatas pada negara dan lembaga negara yang menerima APBN, silakan Validatornya Bank Sentral dan beberapa Bank lainnya, namun buat explolernya publik (jadi bangun blockchain tipe hybrid), tag nama lembaga atau instansi-nya dengan domain names, setiap transaksi berikan pesan note yang bisa masyarakat selidiki benarkah anggaran dari transaksi itu masuk akal, dengan begini para Cypherpunk mungkin akan bertepuk tangan karena teknologi blockchain dijadikan alat audit dimana aliran anggaran apbn bisa dilacak oleh masyarakat langsung.","para aktivis Cypherpunk yang melatarbelakangi lahirnya teknologi blockchain inipun menentang CBDC, ini adalah bentuk ko optasi Teknologi Kriptografi dan blockchain yang awalnya mereka ciptakan untuk membebaskan individu desentralisasi dari otoritas, pusat, kekuasaan dan sentralitasnya. Jika Negara memang ingin dianggap terlihat modern dengan menggunakan teknologi ini, setidaknya dari segi etika terapan, mereka bisa gunakan blockchain ini tidak pada tingkatan seluruh negara, namun terbatas pada negara dan lembaga negara yang menerima APBN, silakan Validatornya Bank Sentral dan beberapa Bank lainnya, namun buat explolernya publik jadi bangun blockchain tipe hybrid , tag nama lembaga atau instansi nya dengan domain names, setiap transaksi berikan pesan note yang bisa masyarakat selidiki benarkah anggaran dari transaksi itu masuk akal, dengan begini para Cypherpunk mungkin akan bertepuk tangan karena teknologi blockchain dijadikan alat audit dimana aliran anggaran apbn bisa dilacak oleh masyarakat langsung.",Negatif,Keamanan data dan kontrol
R03687,PMuEX5Qbmzo,2025-08-16 15:15:29,@gudel98,"Jika pemerintah nya baik, maka cbdc ini sangat bagus, tapi jika pemerintah nya buruk maka cbcd bisa jadi alat untuk menghancurkan masyarakat","Jika pemerintah nya baik, maka cbdc ini sangat bagus, tapi jika pemerintah nya buruk maka cbcd bisa jadi alat untuk menghancurkan masyarakat",Netral,Tanggapan mendukung digitalisasi
R00750,Bn_MTSqW3bE,2022-12-17 08:41:35,@suryakusuma8358,"@saya8098 , ATM ga masuk virtual ,, karena mengunakan kartu",", ATM ga masuk virtual ,, karena mengunakan kartu",Netral,Tidak teridentifikasi
R03524,ebkamQER1nM,2024-09-09 07:07:15,@ridhowijoyo9864,Bisa menghabiskan uang negara untuk hal hal yg tidak perlu....mending keamananya saja di tingkatkan,Bisa menghabiskan uang negara untuk hal hal yg tidak perlu....mending keamananya saja di tingkatkan,Positif,Tidak teridentifikasi
R04611,gU62EuPDWaY,2026-05-08 06:41:53,@ArdhyYTApril,"Ya elah indonesia mau ikuy spt itu,ktp elektronik aja masih difotokopi","Ya elah indonesia mau ikuy spt itu,ktp elektronik aja masih difotokopi",Netral,Tidak teridentifikasi
R01032,Bn_MTSqW3bE,2022-12-23 23:50:57,@Dekyarista,rupiah digital ya scan QR transaksinya,rupiah digital ya scan QR transaksinya,Netral,Tidak teridentifikasi
R04742,gU62EuPDWaY,2026-05-08 08:21:34,@okepedia,Masih ada ratusan juta manusia yang miskin yang sulit akses internet.,Masih ada ratusan juta manusia yang miskin yang sulit akses internet.,Negatif,Tidak teridentifikasi
R03542,wMPGW76Iy9A,2024-09-19 07:05:34,@baguspribadi8319,"Hahaha rupiah digital, aman gk tuh? Kmaren2 kena hack gk bisa benerin, malah dikasihani sm hackernya wkwkwk 😂","Hahaha rupiah digital, aman gk tuh? Kmaren2 kena hack gk bisa benerin, malah dikasihani sm hackernya wkwkwk",Negatif,Keamanan data dan kontrol
R03658,SxMdI5sabb0,2025-04-01 12:35:08,@historymychanel8930,"Bukan belum efesien  tapi pembodohan umat .
Semoga uang digital gk ada di negara kita.",Bukan belum efesien tapi pembodohan umat . Semoga uang digital gk ada di negara kita.,Netral,Tidak teridentifikasi
R01959,SxMdI5sabb0,2023-02-08 21:40:07,@alsantamaalsantama6131,"Untuk menghanguskan uang yg terpendam, dibunker .","Untuk menghanguskan uang yg terpendam, dibunker .",Netral,Tidak teridentifikasi
R01347,SxMdI5sabb0,2023-01-29 07:05:58,@NgomonginUang,"Tapi ada kok, di daerah dengan pelat nomor D, ada salah satu penjual yang hanya mau dibayar pake cash aja, dan itu tetep rame jualannya 🤔","Tapi ada kok, di daerah dengan pelat nomor D, ada salah satu penjual yang hanya mau dibayar pake cash aja, dan itu tetep rame jualannya",Netral,Kebutuhan terhadap uang tunai
R02596,ebkamQER1nM,2024-08-08 06:33:05,@fh69gaming50,Otak udang ini nyaranin bitcoin 😂,Otak udang ini nyaranin bitcoin,Netral,Tidak teridentifikasi
R04110,KqjkU_AQCJE,2026-01-17 00:56:20,@USTADZSAMSULLUMAJANG-m4x,"KACAU KALAU GURU DIATUR ORANG2 BUKAN GURU😭 TUKIN MEREKA LANCAR SETIAP BULAN TANPA ALASAN, TAPI TUNJANGAN GURU DITUNDA TERUS SAMPAI NANGIS😭","KACAU KALAU GURU DIATUR ORANG2 BUKAN GURU TUKIN MEREKA LANCAR SETIAP BULAN TANPA ALASAN, TAPI TUNJANGAN GURU DITUNDA TERUS SAMPAI NANGIS",Netral,Tidak teridentifikasi
R03299,PMuEX5Qbmzo,2024-08-14 23:59:13,@Dino-zf1jg,"apakah bakal ada CENTRAL BANK nya CDBC ? seperti BIS nya sekarang ?

dan jika negara2 punya CDBC ..  currency apa/siapa yg bakal dipakai untuk para CBDC saling bertransaksi?",apakah bakal ada CENTRAL BANK nya CDBC ? seperti BIS nya sekarang ? dan jika negara2 punya CDBC .. currency apa siapa yg bakal dipakai untuk para CBDC saling bertransaksi?,Netral,Tidak teridentifikasi
R02825,ebkamQER1nM,2024-08-13 06:10:39,@dolphin_97,Baru B.I punya decentral pool dari uang digital [liquidats stavilitas,Baru B.I punya decentral pool dari uang digital liquidats stavilitas,Netral,Tidak teridentifikasi
R01441,SxMdI5sabb0,2023-01-29 11:09:37,@jeremiabnsiregar3196,wah kalau tanpa kyc dan monitoring yg ketat cuocok bgt utk money laundring nih....,wah kalau tanpa kyc dan monitoring yg ketat cuocok bgt utk money laundring nih....,Netral,Tidak teridentifikasi
R01862,SxMdI5sabb0,2023-02-03 04:53:20,@rinawanmantap5919,"@NgomonginUang jaringan internet listrik dan keamanan harus ditingkatkan dulu terus sosialisasi ke masyarakat tentang uang digital sebelum menerapkan uang digital secara pasif

Selain sosialisasi juga praktek jadi masyarakat bisa langsung mempelajari uang digital",jaringan internet listrik dan keamanan harus ditingkatkan dulu terus sosialisasi ke masyarakat tentang uang digital sebelum menerapkan uang digital secara pasif Selain sosialisasi juga praktek jadi masyarakat bisa langsung mempelajari uang digital,Netral,Literasi dan kesiapan masyarakat
R03996,ebkamQER1nM,2025-11-14 01:06:00,@kh3nsin_himura148,Sama aja.. uang di dana juga digital,Sama aja.. uang di dana juga digital,Netral,Tidak teridentifikasi
R04087,KqjkU_AQCJE,2026-01-16 19:51:53,@cakrawala0303,Harus ya nyebut Indonesia dengan honoha? jika kita sendiri tdk bisa menghargai negaranya bagaimana dengan dengan orang asing?,Harus ya nyebut Indonesia dengan honoha? jika kita sendiri tdk bisa menghargai negaranya bagaimana dengan dengan orang asing?,Netral,Tidak teridentifikasi
R03908,ebkamQER1nM,2025-11-04 09:03:13,@JuliantoLianu,@ronald9193iya maksudnya topup pakai itu cuman di buat khusus kayak ada model gambar dari mata uang kayak kripto soalnya kalau kripto itu rata2 buatan perusahaan kecuali bitcoin dan sewaktu-waktu bisa scam karna mengandung sistem ponzi (kepercayaan serta yakin harganya akan naik) dari kripto karna bukan alat pembayaran yg sah di buat suatu negara kecuali USDT,maksudnya topup pakai itu cuman di buat khusus kayak ada model gambar dari mata uang kayak kripto soalnya kalau kripto itu rata2 buatan perusahaan kecuali bitcoin dan sewaktu waktu bisa scam karna mengandung sistem ponzi kepercayaan serta yakin harganya akan naik dari kripto karna bukan alat pembayaran yg sah di buat suatu negara kecuali USDT,Negatif,Tidak teridentifikasi
